quarter,y,g,newsy,taxy,debty,infl,unemp,slack,zlb,recession,wwii,ag,y_cbo,g_cbo,newsy_cbo,ypc,gpc,newsy_hbr
1905.25,1.0322121619148827,0.0685521343478568,0.0,0.019426360746920935,0.04590016214025132,-5.3282888413948015,4.06,0.0,0.0,0.0,0.0,0.0012432666615009044,1.0321959843712725,0.06855105995134811,0.0,0.006069929140832595,0.00040312119281020405,0.0
1905.5,1.054353021702177,0.07321563347581161,0.0,0.020216148804934463,0.0450901470003973,0.5991255820887886,3.75,0.0,0.0,0.0,0.0,0.0006103870788113849,1.0538141737358595,0.0731782151781551,0.0,0.006216066526866041,0.0004316516756005857,0.0
1905.75,1.0983051200925946,0.07210498247003841,0.0,0.019561531204644416,0.04386962220508866,4.840478006445537,3.41,0.0,0.0,0.0,0.0,0.0011325051491350793,1.0972032748987863,0.0720326450776956,0.0,0.00649222079482096,0.0004262216919854824,0.0
1906.0,1.1426117006062895,0.06968899365134383,0.0,0.019251829059829056,0.04139216255442671,5.030757637053362,3.03,0.0,0.0,0.0,0.0,0.0014071104976299805,1.140909249902219,0.06958515953495527,0.0,0.006771923541428821,0.0004130261719144006,0.0
1906.25,1.1499857160412217,0.06724864067983549,0.0,0.01822395123580494,0.03906061538461538,3.7451986541395144,2.64,0.0,0.0,0.0,0.0,0.008312248102808744,1.1477177724531629,0.06711601631649945,0.0,0.006833628282013358,0.00039961558345147743,0.0
1906.5,1.161512472942248,0.07075457496781935,0.0,0.01879062273476112,0.038158817635270535,-1.477324654741352,2.26,0.0,0.0,0.0,0.0,0.03963874066818029,1.1586692413676538,0.07058137696411139,0.0,0.006920876458754772,0.00042159140228908114,0.0
1906.75,1.1768788379833284,0.07174415986972349,0.0,0.019023378125,0.037634003294892915,12.960706659709231,1.87,0.0,0.0,0.0,0.0,0.5093947396110975,1.1734460807357527,0.0715348942454167,0.0,0.007032494375320318,0.00042871057279819945,0.0
1907.0,1.1586633812592653,0.0717064837817948,0.0,0.01938831404441664,0.0357261875,2.911042344391035,1.57,0.0,0.0,0.0,0.0,0.9952052443040115,1.1547485505280146,0.07146420569578693,0.0,0.006943497619930976,0.00042971393376684393,0.0
1907.25,1.1404283919219673,0.0748401758757773,0.0,0.01976217119650109,0.035882952768220205,3.9537315039336107,2.12,0.0,0.0,1.0,0.0,0.9999264009421224,1.1360586982067622,0.07455341640145549,0.0,0.006853871785903915,0.0004497827075513346,0.0
1907.5,1.1019653427925689,0.07933460072800817,0.0,0.018921692551505546,0.03610059356451109,4.9538751137690795,3.59,0.0,0.0,1.0,0.0,0.9999766335485283,1.097253138410466,0.07899535153505667,0.0,0.006640899168604325,0.00047810313406141216,0.0
1907.75,1.0132090863453815,0.07738570941051272,0.0,0.01908891499654457,0.03694,-3.95669770601792,5.0,0.0,0.0,1.0,0.0,0.9999731839394815,1.0084354237003408,0.0770211121371055,0.0,0.0061211729237933875,0.0004675158518768971,0.0
1908.0,0.9250350955601161,0.08986198609656733,0.0,0.021203993820007726,0.04056057360055287,-11.03421357806944,6.8,1.0,0.0,1.0,0.0,0.9997342748647493,0.9202844296706872,0.08940048547442411,0.0,0.005602436294926276,0.0005442453533470841,0.0
1908.25,0.9096975782456151,0.08707096140087829,0.0,0.01933549361207898,0.045488219389725755,2.883468383193488,8.07,1.0,0.0,1.0,0.0,0.9940648042543333,0.9046489280637875,0.08658773396835481,0.0,0.005523387036034738,0.0005286664831450653,0.0
1908.5,0.9247649273773283,0.07838284561506229,0.0,0.019809924585218703,0.045453619821912504,0.9804463369144756,7.59,1.0,0.0,0.0,0.0,0.910562376956606,0.9192605158781213,0.07791629306319624,0.0,0.005628656803626986,0.00047708355301719497,0.0
1908.75,0.9605676551397929,0.0801812920480504,0.0,0.019422426763110307,0.04396527149321267,-1.3678482398910674,7.38,1.0,0.0,0.0,0.0,0.09881985959181865,0.9544750046690246,0.07967272132517686,0.0,0.005860176114353618,0.0004891654325062764,0.0
1909.0,1.0167117880266654,0.08009026228760179,0.0,0.019627222030981065,0.04182180831826402,-5.93947995692492,6.57,1.0,0.0,0.0,0.0,0.0019125788267471064,1.0098783812203431,0.07955196879097727,0.0,0.006217250369199029,0.0004897565058661243,0.0
1909.25,1.0488106026484916,0.07458660259665519,0.0,0.018790984574991797,0.0395289156626506,3.739624332969882,5.82,0.0,0.0,0.0,0.0,0.002788120576527898,1.0413779874882538,0.07405802907555367,0.0,0.006428718572790408,0.00045718099739229794,0.0
1909.5,1.0719166582569788,0.07278771039950321,0.0,0.018765503014915898,0.03757102067607483,1.7863139934325645,5.28,0.0,0.0,0.0,0.0,0.02105049974076613,1.0639426867748691,0.0722462437448871,0.0,0.0065852095565624835,0.0004471637999380726,0.0
1909.75,1.0755885858360064,0.06960510156108579,0.0,0.018925955949831753,0.03631701047286576,10.435426471065945,4.93,0.0,0.0,0.0,0.0,0.2043558416915405,1.067223238848953,0.06906375068185998,0.0,0.006621206202196886,0.0004284814251748424,0.0
1910.0,1.0485023505898683,0.0684574700053674,0.0,0.019614818796068797,0.0350427653716733,5.649105260143017,5.45,0.0,0.0,1.0,0.0,0.7525410381386803,1.0400080672962762,0.0679028721606787,0.0,0.006467763547497086,0.0004222849179169679,0.0
1910.25,1.016344242201934,0.07256131566653666,0.0,0.019269900435594272,0.035225429975429975,4.366928311750051,5.79,0.0,0.0,1.0,0.0,0.8540906546514456,1.0077961921554506,0.07195103252426939,0.0,0.00628247916383874,0.0004485340053563936,0.0
1910.5,0.9963474415959505,0.07490749602935909,0.0,0.0199001201011378,0.03569007467330429,-1.2865875084694167,5.95,0.0,0.0,1.0,0.0,0.9168634291738299,0.9876741251538401,0.07425541785880839,0.0,0.0061744531459226445,0.0004642083727046166,0.0
1910.75,0.9954971339653285,0.07801970126696284,0.0,0.02058843338683788,0.03626311630847029,-8.796635168609868,6.25,0.0,0.0,1.0,0.0,0.9128482429346045,0.9865537403441492,0.0773187842328194,0.0,0.006190058297594829,0.0004851309790111895,0.0
1911.0,1.0113593807011523,0.08265966165392039,0.0,0.019993015922572587,0.036892455858747994,1.8674875281718073,6.66,1.0,0.0,1.0,0.0,0.8104782411524094,1.0020065519437962,0.08189524331228781,0.0,0.006310075004015814,0.0005157302881604776,0.0
1911.25,1.0184740794908014,0.08743630741841887,0.0,0.020209686724565756,0.036028254761161414,-3.069197076837682,6.99,1.0,0.0,1.0,0.0,0.5037906306640839,1.008803994515079,0.08660612770179593,0.0,0.006376189191365894,0.0005473977684076184,0.0
1911.5,1.0231855794845113,0.08591418171961775,0.0,0.01814701696933611,0.036076923076923076,11.584349599455024,7.18,1.0,0.0,1.0,0.0,0.24364062625031097,1.0132345341739504,0.08507861881465342,0.0,0.006427613531681323,0.0005397096754066426,0.0
1911.75,1.0184734855688033,0.08902654134234352,0.0,0.018654223473621813,0.03496058350699613,0.8129098004763691,7.25,1.0,0.0,1.0,0.0,0.16647058423622685,1.0083503046174878,0.08814165646291537,0.0,0.0064198548312805245,0.0005611706928527881,0.0
1912.0,1.0209039995006006,0.08711024889995989,0.0,0.01965078125,0.03513114997036158,-1.7760184326469641,6.53,1.0,0.0,1.0,0.0,0.16423012634674639,1.0105557179297517,0.08622726540321142,0.0,0.006457274925291639,0.0005509771988676527,0.0
1912.25,1.0279635289583504,0.08087928445871052,0.0,0.017772970973249858,0.03519572523584906,8.370259084084353,6.0,0.0,0.0,0.0,0.0,0.17800234195413533,1.0173593317723162,0.08004495536384994,0.0,0.0065243907697219656,0.0005133334424022238,0.0
1912.5,1.0385772646504277,0.08402623780761499,0.0,0.018105834738617203,0.03408053500284576,-1.9647535110335568,5.68,0.0,0.0,0.0,0.0,0.2517756907391839,1.0276944360804356,0.08314576105103064,0.0,0.006612253318323429,0.0005349652728597375,0.0
1912.75,1.0554893184017262,0.08395769264936043,0.0,0.018346704918032787,0.03366658234963463,1.8616228594677153,5.23,0.0,0.0,0.0,0.0,0.23710965743187445,1.0442769686873608,0.08306581909385984,0.0,0.006736101703746157,0.0005358155185827297,0.0
1913.0,1.060466923332892,0.080108394292922,0.0,0.018675807848443842,0.03267532786885245,-1.0674794046703795,5.39,0.0,0.0,1.0,0.0,0.5896062373637211,1.0490676020389758,0.07924728179163365,0.0,0.006784372261827609,0.0005124961054630115,0.0
1913.25,1.0544260516250006,0.08224655639409656,0.0,0.016321298207495925,0.03228817320703654,-2.0666375301374273,5.53,0.0,0.0,1.0,0.0,0.9131458357076762,1.0429772713491807,0.08135353715282527,0.0,0.006762391910019605,0.0005274750625985223,0.0
1913.5,1.051466810240943,0.07731701071950149,0.0,0.017904721259002398,0.032333731667571974,5.469220549497322,5.73,0.0,0.0,1.0,0.0,0.9746970388531142,1.0399549097207117,0.07647051159346573,0.0,0.00676031626326629,0.0004971031324083415,0.0
1913.75,1.0169374606714388,0.07786513964790473,0.0,0.01864862734438706,0.03170645505468125,2.8477143662621884,6.32,0.0,0.0,1.0,0.0,0.9971254496534027,1.0057302564786033,0.07700702343792505,0.0,0.006554962788310626,0.000501902145055832,0.0
1914.0,0.9774472902172602,0.08154282379645325,0.0,0.018296789146410402,0.03228605599347649,-2.807682235176223,7.24,1.0,0.0,1.0,0.0,0.9997081585478296,0.9666232136726278,0.08063983314389121,0.0,0.006316671134834665,0.0005269636598137965,0.0
1914.25,0.9580075224910046,0.0814852160579964,0.0,0.018396009739329706,0.033584934991520626,-0.2500908944064406,8.13,1.0,0.0,1.0,0.0,0.9992883766104277,0.9473657948573844,0.0805800629614934,0.0,0.0062072229972146824,0.0005279675735040501,0.0
1914.5,0.9248782042992045,0.08262752404035957,0.0,0.019428071839080463,0.03409573188198225,9.901468170820493,8.94,1.0,0.0,1.0,0.0,0.9986850179244523,0.9145896777715421,0.08170835925838867,0.0,0.006010706980579275,0.0005369894470739431,0.0
1914.75,0.8808293409274983,0.0823081039434958,0.0,0.017274233091787442,0.03426612068965518,-3.297984300579415,9.66,1.0,0.0,1.0,0.0,0.9769341710186035,0.8710332107252587,0.08139271560949579,0.0,0.00574627364736025,0.0005369540575892649,0.0
1915.0,0.8941610222084109,0.08763634808378551,0.0,0.019173487627365354,0.03602910628019324,5.662268653263602,9.23,1.0,0.0,0.0,0.0,0.39031433884359074,0.8842360993076566,0.0866636105382738,0.0,0.005855643664626308,0.0005739091882806266,0.0
1915.25,0.9044613757088759,0.08305315223242045,0.0,0.016696385885031303,0.034680174672489086,1.4890299993284728,9.4,1.0,0.0,0.0,0.0,0.04587660456211168,0.8944592390232549,0.08213469512290675,0.0,0.005945994311055956,0.0005459974123297326,0.0
1915.5,0.9356316634848968,0.07585536322674602,0.0,0.01723359087159747,0.03371983494593056,-2.7620523235563965,9.13,1.0,0.0,0.0,0.0,0.0097494085271679,0.9253402883379371,0.07502100069890288,0.0,0.006174944923160644,0.0005006272322025398,0.0
